trait,n_indiv,reduced_hsq,reduced_hsq_stderr,rg,rg_stderr,pval
crp,8521,0.2697260261029817,0.042290228841087456,0.9831500846610025,0.0588833486294272,0.7616498024291282
basophil_cnt,3276,0.05461692612960864,0.0928456233299673,1.2849226697543628,0.11918988575418067,0.10341970609405086
a1c,1854,0.16689076774699102,0.15590085226240316,1.1831638526235715,0.2088055866297613,0.5365348090845035
adiponectin,2908,0.17358666905326883,0.10332613178229287,-0.6070271460476235,6.43129057232865,0.07994595920299183
eosinophil_cnt,3276,0.16297756383143225,0.09626872143377233,1.1499194773267711,0.08690961360636773,0.23773075520816045
il6,1811,0.2578657951182889,0.16300434026079752,-2.2747073743978774,20.99920319414583,0.06835862208036139
lymphocyte_cnt,3276,0.2660538534904769,0.09806003093983794,0.9233926705192067,0.17200736815798476,0.6060277160974419
mean_cell_hgb,3816,0.11387978077656867,0.08140268280266957,0.8302537347856932,0.44705610817766805,0.6170750774519739
mean_corp_hgb_conc,3816,0.2418240960133747,0.08682669851437962,0.8803683272692353,0.19905735000525526,0.47341239468361795
mean_corp_vol,3816,0.12990735553720142,0.08326496729416243,0.8108412631751462,0.4154112736378692,0.5281239517796136
mean_plate_vol,3774,0.2678723104084324,0.08779756563433133,0.9516690171910618,0.13605857028048896,0.7004540036056434
monocyte_cnt,3276,0.28177980712715245,0.09570007398499039,0.9860746498995273,0.11301000527850848,0.8875370839804959
neutrophil,3279,0.23840443422062185,0.08975784019705296,0.8634149188550789,0.23429087039260688,0.3954886555135976
platelet_cnt,8871,0.20186561212044007,0.04000006568725459,0.8822955879117401,0.1054264054734457,0.1570918088717684
rbc_cnt,3816,0.21838298747928256,0.0824059682620809,0.8009991196412339,0.26103188004627553,0.28188070930146414
rbc_dist_width,3813,0.16995835475825014,0.0799583056955054,0.7860444888631483,0.35272368285834427,0.35262173565727584
hemoglobin,8888,0.10871110754773752,0.036593362475940146,0.3680680217449896,0.6669323327020091,0.012789475151456429
ldl,9875,0.13735197739809765,0.03441088604314217,0.9514120507290216,0.10305114651684717,0.5993350248292081
hdl,10248,0.1878694217181056,0.034879039046331474,0.9088356689157461,0.0928369500234374,0.2418118837043064
total_cholesterol,10300,0.16788505944099108,0.033447915684182754,0.703304911732917,0.1778721572694396,0.005571254261085035
total_wbc_cnt,8889,0.2525373610830711,0.039234484660654066,0.929076363752417,0.07734816576269402,0.2831308706623344
gout,10479,0.013312643196497739,0.027253417816717782,1.0513122586556714,0.42097878109859865,0.9127706190975894
hematocrit,8892,0.11485752369273915,0.03699465358948913,0.6975416876672653,0.29933819928526956,0.07427154054354178
triglycerides,10217,0.16521771142288028,0.03423149160274379,0.8746256420861382,0.11315645974081351,0.16215646392968408
serum_creatinine,9157,0.1638341950005552,0.038506621169422196,0.8865101174119411,0.12012081909601839,0.24388439996737576
cigs_per_day_excl_nonsmk_updated,7171,0.11904705612013651,0.04445275843915403,0.9906946730936734,0.126972453143621,0.9495709711517005
drinker_ever,7864,0.08122905886364197,0.04118128001569197,1.0969290509786072,0.10197812335017685,0.45750164483628286
smoker_ever,13761,0.11134510117579446,0.025031869081557346,0.8798999788512497,0.12213856144114064,0.19652663223592776
coffee_cup_day,11862,0.10462130610735206,0.028921444734399063,1.0307460499755272,0.07606171822689711,0.7082810122911815
egfrckdepi,8261,0.16090066085112978,0.04129203623716716,0.8133844294128237,0.16169913415796555,0.10097981406154563
esrd,10479,0.029663153965096074,0.02943511641938257,1.1595419663691693,0.11567080841855872,0.3153824543015007
diastolic_bp,11424,0.04019279590012954,0.02642893724836925,1.0051138947197948,0.21276424322082801,1.0
heart_rate,4157,0.08346636900968515,0.0758856773245557,0.5036929330315097,1.3190850238965437,0.3814573359075911
hypertension,17195,0.0756199048659805,0.019575254817782106,0.9541319147811842,0.10556034122912947,0.6242061147663994
mi_inc,12145,-0.02182423184546573,0.021881399975338,-0.2397692941499588,8.545978785207362,0.390945241392222
pr_interval,4178,0.18573095483514468,0.0778197897797002,0.8989369753280473,0.20765238065217728,0.5586770527368978
bmi,17264,0.24341432467554333,0.02307125316745635,0.9467727537094396,0.047040016129144616,0.21049770005543547
qrs_interval,4185,0.15386422058036248,0.07944969079232946,1.1543718576347506,0.08794554040452969,0.23176443848336337
qt_interval,4196,0.21679407595540623,0.08057321482576918,1.0645035836774324,0.08972094424554854,0.5386755507626673
stroke_inc,12145,0.042256554010145726,0.02663098358212819,0.9679986928714813,0.2295912701757922,0.893272830142126
systolic_bp,11425,0.08550369174243526,0.030938892074327446,1.1013696188240887,0.07281952149892927,0.2938276065384478
height,17286,0.4027648101991288,0.024152091920737792,0.9208600255990398,0.0374414588456049,0.013937836609636137
waist_hip_ratio,10307,0.12594072386478294,0.033938590878894954,0.9998796849281053,0.0853891500505639,1.0
t2d_status,15014,0.13087956391636466,0.024211781522577056,0.9220839144705796,0.08788208930517558,0.3106288734550944
insulin,7927,0.13856723556023384,0.041460549689111274,1.0388732698961938,0.0781804960728089,0.6467674040054399
glucose,9937,0.07891615440542557,0.03216873430592444,0.8134509895136749,0.27696732566229887,0.3032151849532903
